Molecule,Molecular_Formula,Classification,Tot_atoms,Tot_nH_atoms,IUPAC_Name,SMILES,InChI,InChIKey,Ref_OriDB,Original_DataBase,Mode,ExpFreq_New,CCSD(T)-F12c_Freqs,CCSD(T)-F12c_ScaledFreqs,FreqRange,Region,Symmetry,Mode_Description,Mode_Description_Exp,ModeClass,Statistic,Statistic_Type,Resolution,Journal,Year,BibTex_Code,DOI,Comments
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],8,260,262.21,258.748828,Low,1000 - 5882,E,C-N#C bend,C-N#C bend,non-Stretch,-,-,Low-to-mid,Icarus,1996,"@article{96KhPaBr,
abstract = {In the frame of a program of systematic studies to determine or reassess the absolute intensities of gas phase organics of interest to Titan, we have experimentally studied the IR spectra in the gas phase of diazomethane, methyl azide, and methyl isocyanide, at room temperature, in the 250-4300 cm-1 region. The absolute intensities, Sv, of the most intense vibrational bands of these compounds were determined experimentally together with the associated uncertainties. In order to estimate the detectability of the selected compounds by infrared spectroscopy in Titan's atmosphere, our data were compared with Voyager IRIS spectra of Titan. Upper limits of, respectively, 5, 5.4, and 1.3 ppb on the mean stratospheric abundances are inferred. These values are consistent with photochemical modeling of Titan's atmosphere. They appear auspicious for possible detection in Titan using upcoming space missions. {\textcopyright} 1996 Academic Press, Inc.},
author = {Khlifi, Mohammed and Paillous, Pierre and Bruston, Paul and Raulin, Fran{\c{c}}ois and Guillemin, Jean Claude},
doi = {10.1006/icar.1996.0207},
issn = {00191035},
journal = {Icarus},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {nov},
number = {1},
pages = {318--328},
publisher = {Academic Press},
title = {{Absolute IR band intensities of CH2N2, CH3N3, and CH3NC in the 250-4300 cm-1 region and upper limits of abundance in Titan's stratosphere}},
volume = {124},
year = {1996}
}",_10.1006/icar.1996.0207,NA
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],4,944.90042,959.28,946.617504,Low,900 - 990,A1,C-N stretch,C-N stretch,Stretch,3,One STD,Rovibronic,Journal of Molecular Spectroscopy,1992,"@article{He1992,
abstract = {The first completely resolved high-resolution infrared vibration-rotation spectrum of methyl isocyanide (CH3NC) has been obtained. The $\nu$4 band was measured between 900 and 990 cm-1 with a resolution of 0.006 cm-1; 971 transitions were assigned to the P and R branches of the $\nu$4 fundamental band spanning K = 0 to K = 9 and J = 0 to J = 65. Reliable and highly accurate sets of spectroscopic constants for both of the $\nu$4 and ground states were generated. Small anomalies were found in a group of lines in the low-J region of the K = 4 subband and near J = 61 of the K = 3 subband. A perturbation analysis was performed based on symmetry considerations. A rotational resonance ($\Delta$l = _ 1, $\Delta$k = ±2) between the $\nu$4 and 3$\nu$8±1 (kl < 0) was found to be the most probable origin of the anomalies, and the interaction matrix element has been derived. {\textcopyright} 1992.},
author = {He, Chun and Bernheim, R.A},
doi = {10.1016/0022-2852(92)90526-T},
issn = {00222852},
journal = {Journal of Molecular Spectroscopy},
mendeley-groups = {FREQ_refs},
month = {oct},
number = {2},
pages = {365--383},
publisher = {Academic Press},
title = {{High-resolution spectroscopy of methyl isocyanide: The $\nu$4 fundamental and ground state constants}},
url = {https://linkinghub.elsevier.com/retrieve/pii/002228529290526T},
volume = {155},
year = {1992}
}",_10.1016/0022-2852(92)90526-T,NA
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],7,1129,1157.57,1125.968339,Mid,1000 - 5882,E,CH2 bend,CH2 twist,non-Stretch,-,-,Low-to-mid,The Journal of Chemical Physics,1956,"_@article{56Wi,
abstract = {The infrared spectrum of methyl isocyanide vapor has been remeasured with medium resolving power from 1.7–10$\mu$ and in the far infrared region around 38$\mu$. From these observations it has been possible...},
author = {Williams, R. L.},
doi = {10.1063/1.1743022},
issn = {0021-9606},
journal = {The Journal of Chemical Physics},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {oct},
number = {4},
pages = {656},
publisher = {American Institute of PhysicsAIP},
title = {{Infrared Spectrum of Methyl Isocyanide}},
url = {https://aip-scitation-org.wwwproxy1.library.unsw.edu.au/doi/abs/10.1063/1.1743022},
volume = {25},
year = {1956}
}",_10.1063/1.1743022,NA
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],7,1129,1157.62,1126.016974,Mid,1000 - 5882,E,CH2 bend,CH2 wag,non-Stretch,-,-,Low-to-mid,The Journal of Chemical Physics,1956,"_@article{56Wi,
abstract = {The infrared spectrum of methyl isocyanide vapor has been remeasured with medium resolving power from 1.7–10$\mu$ and in the far infrared region around 38$\mu$. From these observations it has been possible...},
author = {Williams, R. L.},
doi = {10.1063/1.1743022},
issn = {0021-9606},
journal = {The Journal of Chemical Physics},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {oct},
number = {4},
pages = {656},
publisher = {American Institute of PhysicsAIP},
title = {{Infrared Spectrum of Methyl Isocyanide}},
url = {https://aip-scitation-org.wwwproxy1.library.unsw.edu.au/doi/abs/10.1063/1.1743022},
volume = {25},
year = {1956}
}",_10.1063/1.1743022,NA
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],3,1426.4906,1466.3,1426.27001,Mid,1370 - 1560,A1,CH3 bend,CH3 bend,non-Stretch,11,One STD,Rovibronic,Journal of Molecular Spectroscopy,1995,"@article{95LePlGo,
abstract = {The vibration-rotation spectrum of methyl isocyanide (CH3NC) has been recorded with the aid of a high-resolution Fourier transform spectrometer in the region 1370 to 1560 cm_1 containing the perpendicular band of the fundamental vibration $\nu$6 (species E), the weaker parallel band of the $\nu$3 (A1) fundamental, and the perpendicular combination band $\nu$_7 + $\nu$_8 (E) enhanced by Fermi resonance with $\nu$6. Sixteen hundred seventy well-resolved lines were assigned to 15 subbands of $\nu$6, 6 subbands of $\nu$3, and 3 subbands of $\nu$_7 + $\nu$_8. A strong x, y-Coriolis resonance between $\nu$3 and $\nu$6 and Fermi resonance between $\nu$±6 and the E component $\nu$_7 + $\nu$_8, as well as between $\nu$3 and the A1,2 components $\nu$±7 + $\nu$_8, greatly affects the spectrum. Additional weaker anharmonic interaction of $\nu$6 with the $\nu$4 + 2$\nu$28 combination and higher-order rotational interactions connecting the various states were also detected in the spectrum. All of these interactions have been incorporated into a 9 _ 9 Hamiltonian matrix used for modeling the upper states of the observed transitions. A set of spectroscopic constants is reported for the upper states of the bands $\nu$3, $\nu$6, and $\nu$7 + $\nu$8 and for $\nu$4 + 2$\nu$28 which reproduces the observed lines with an overall standard deviation of 0.0012 cm_1.},
author = {Le, L. and Pliva, J. and Gold, L. P. and Bernheim, R. A.},
journal = {Journal of Molecular Spectroscopy},
mendeley-groups = {Refs_frequencies,FREQ_refs},
number = {2},
pages = {506--515},
title = {{High-Resolution Infrared Spectroscopy of Methyl Isocyanide: The $\nu$3, $\nu$6, and $\nu$7 + $\nu$8 Bands}},
volume = {170},
year = {1995}
}",10.1006/jmsp.1995.1088,NA
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],6,1464.0062,1509.21,1468.008567,Mid,1370 - 1560,E,CH2 bend,CH2 scissor,non-Stretch,5,One STD,Rovibronic,Journal of Molecular Spectroscopy,1995,"@article{95LePlGo,
abstract = {The vibration-rotation spectrum of methyl isocyanide (CH3NC) has been recorded with the aid of a high-resolution Fourier transform spectrometer in the region 1370 to 1560 cm_1 containing the perpendicular band of the fundamental vibration $\nu$6 (species E), the weaker parallel band of the $\nu$3 (A1) fundamental, and the perpendicular combination band $\nu$_7 + $\nu$_8 (E) enhanced by Fermi resonance with $\nu$6. Sixteen hundred seventy well-resolved lines were assigned to 15 subbands of $\nu$6, 6 subbands of $\nu$3, and 3 subbands of $\nu$_7 + $\nu$_8. A strong x, y-Coriolis resonance between $\nu$3 and $\nu$6 and Fermi resonance between $\nu$±6 and the E component $\nu$_7 + $\nu$_8, as well as between $\nu$3 and the A1,2 components $\nu$±7 + $\nu$_8, greatly affects the spectrum. Additional weaker anharmonic interaction of $\nu$6 with the $\nu$4 + 2$\nu$28 combination and higher-order rotational interactions connecting the various states were also detected in the spectrum. All of these interactions have been incorporated into a 9 _ 9 Hamiltonian matrix used for modeling the upper states of the observed transitions. A set of spectroscopic constants is reported for the upper states of the bands $\nu$3, $\nu$6, and $\nu$7 + $\nu$8 and for $\nu$4 + 2$\nu$28 which reproduces the observed lines with an overall standard deviation of 0.0012 cm_1.},
author = {Le, L. and Pliva, J. and Gold, L. P. and Bernheim, R. A.},
journal = {Journal of Molecular Spectroscopy},
mendeley-groups = {Refs_frequencies,FREQ_refs},
number = {2},
pages = {506--515},
title = {{High-Resolution Infrared Spectroscopy of Methyl Isocyanide: The $\nu$3, $\nu$6, and $\nu$7 + $\nu$8 Bands}},
volume = {170},
year = {1995}
}",10.1006/jmsp.1995.1088,NA
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],6,1464.0062,1509.37,1468.164199,Mid,1370 - 1560,E,CH2 bend,CH2 scissor,non-Stretch,5,One STD,Rovibronic,Journal of Molecular Spectroscopy,1995,"@article{95LePlGo,
abstract = {The vibration-rotation spectrum of methyl isocyanide (CH3NC) has been recorded with the aid of a high-resolution Fourier transform spectrometer in the region 1370 to 1560 cm_1 containing the perpendicular band of the fundamental vibration $\nu$6 (species E), the weaker parallel band of the $\nu$3 (A1) fundamental, and the perpendicular combination band $\nu$_7 + $\nu$_8 (E) enhanced by Fermi resonance with $\nu$6. Sixteen hundred seventy well-resolved lines were assigned to 15 subbands of $\nu$6, 6 subbands of $\nu$3, and 3 subbands of $\nu$_7 + $\nu$_8. A strong x, y-Coriolis resonance between $\nu$3 and $\nu$6 and Fermi resonance between $\nu$±6 and the E component $\nu$_7 + $\nu$_8, as well as between $\nu$3 and the A1,2 components $\nu$±7 + $\nu$_8, greatly affects the spectrum. Additional weaker anharmonic interaction of $\nu$6 with the $\nu$4 + 2$\nu$28 combination and higher-order rotational interactions connecting the various states were also detected in the spectrum. All of these interactions have been incorporated into a 9 _ 9 Hamiltonian matrix used for modeling the upper states of the observed transitions. A set of spectroscopic constants is reported for the upper states of the bands $\nu$3, $\nu$6, and $\nu$7 + $\nu$8 and for $\nu$4 + 2$\nu$28 which reproduces the observed lines with an overall standard deviation of 0.0012 cm_1.},
author = {Le, L. and Pliva, J. and Gold, L. P. and Bernheim, R. A.},
journal = {Journal of Molecular Spectroscopy},
mendeley-groups = {Refs_frequencies,FREQ_refs},
number = {2},
pages = {506--515},
title = {{High-Resolution Infrared Spectroscopy of Methyl Isocyanide: The $\nu$3, $\nu$6, and $\nu$7 + $\nu$8 Bands}},
volume = {170},
year = {1995}
}",10.1006/jmsp.1995.1088,NA
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],2,2161,2206.37,2110.172268,High,1000 - 5882,A1,N#C stretch,N#C stretch,Stretch,-,-,Low-to-mid,Icarus,1996,"@article{96KhPaBr,
abstract = {In the frame of a program of systematic studies to determine or reassess the absolute intensities of gas phase organics of interest to Titan, we have experimentally studied the IR spectra in the gas phase of diazomethane, methyl azide, and methyl isocyanide, at room temperature, in the 250-4300 cm-1 region. The absolute intensities, Sv, of the most intense vibrational bands of these compounds were determined experimentally together with the associated uncertainties. In order to estimate the detectability of the selected compounds by infrared spectroscopy in Titan's atmosphere, our data were compared with Voyager IRIS spectra of Titan. Upper limits of, respectively, 5, 5.4, and 1.3 ppb on the mean stratospheric abundances are inferred. These values are consistent with photochemical modeling of Titan's atmosphere. They appear auspicious for possible detection in Titan using upcoming space missions. {\textcopyright} 1996 Academic Press, Inc.},
author = {Khlifi, Mohammed and Paillous, Pierre and Bruston, Paul and Raulin, Fran{\c{c}}ois and Guillemin, Jean Claude},
doi = {10.1006/icar.1996.0207},
issn = {00191035},
journal = {Icarus},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {nov},
number = {1},
pages = {318--328},
publisher = {Academic Press},
title = {{Absolute IR band intensities of CH2N2, CH3N3, and CH3NC in the 250-4300 cm-1 region and upper limits of abundance in Titan's stratosphere}},
volume = {124},
year = {1996}
}",_10.1006/icar.1996.0207,NA
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],1,2967,3073.22,2939.227608,High,1000 - 5882,A1,C-H stretch,C-H sym stretch,Stretch,-,-,Low-to-mid,Icarus,1996,"@article{96KhPaBr,
abstract = {In the frame of a program of systematic studies to determine or reassess the absolute intensities of gas phase organics of interest to Titan, we have experimentally studied the IR spectra in the gas phase of diazomethane, methyl azide, and methyl isocyanide, at room temperature, in the 250-4300 cm-1 region. The absolute intensities, Sv, of the most intense vibrational bands of these compounds were determined experimentally together with the associated uncertainties. In order to estimate the detectability of the selected compounds by infrared spectroscopy in Titan's atmosphere, our data were compared with Voyager IRIS spectra of Titan. Upper limits of, respectively, 5, 5.4, and 1.3 ppb on the mean stratospheric abundances are inferred. These values are consistent with photochemical modeling of Titan's atmosphere. They appear auspicious for possible detection in Titan using upcoming space missions. {\textcopyright} 1996 Academic Press, Inc.},
author = {Khlifi, Mohammed and Paillous, Pierre and Bruston, Paul and Raulin, Fran{\c{c}}ois and Guillemin, Jean Claude},
doi = {10.1006/icar.1996.0207},
issn = {00191035},
journal = {Icarus},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {nov},
number = {1},
pages = {318--328},
publisher = {Academic Press},
title = {{Absolute IR band intensities of CH2N2, CH3N3, and CH3NC in the 250-4300 cm-1 region and upper limits of abundance in Titan's stratosphere}},
volume = {124},
year = {1996}
}",_10.1006/icar.1996.0207,NA
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],5,3013,3159.09,3021.353676,High,1000 - 5882,E,C-H stretch,C-H asym stretch,Stretch,-,-,Low-to-mid,Icarus,1996,"@article{96KhPaBr,
abstract = {In the frame of a program of systematic studies to determine or reassess the absolute intensities of gas phase organics of interest to Titan, we have experimentally studied the IR spectra in the gas phase of diazomethane, methyl azide, and methyl isocyanide, at room temperature, in the 250-4300 cm-1 region. The absolute intensities, Sv, of the most intense vibrational bands of these compounds were determined experimentally together with the associated uncertainties. In order to estimate the detectability of the selected compounds by infrared spectroscopy in Titan's atmosphere, our data were compared with Voyager IRIS spectra of Titan. Upper limits of, respectively, 5, 5.4, and 1.3 ppb on the mean stratospheric abundances are inferred. These values are consistent with photochemical modeling of Titan's atmosphere. They appear auspicious for possible detection in Titan using upcoming space missions. {\textcopyright} 1996 Academic Press, Inc.},
author = {Khlifi, Mohammed and Paillous, Pierre and Bruston, Paul and Raulin, Fran{\c{c}}ois and Guillemin, Jean Claude},
doi = {10.1006/icar.1996.0207},
issn = {00191035},
journal = {Icarus},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {nov},
number = {1},
pages = {318--328},
publisher = {Academic Press},
title = {{Absolute IR band intensities of CH2N2, CH3N3, and CH3NC in the 250-4300 cm-1 region and upper limits of abundance in Titan's stratosphere}},
volume = {124},
year = {1996}
}",_10.1006/icar.1996.0207,NA
C2H3N_1,CH3NC ,CHNOPS,6,3,Isocyanomethane,C[N+]#[C-],InChI=1S/C2H3N/c1-3-2/h1H3,ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],5,3013,3159.31,3021.564084,High,1000 - 5882,E,C-H stretch,C-H asym stretch,Stretch,-,-,Low-to-mid,Icarus,1996,"@article{96KhPaBr,
abstract = {In the frame of a program of systematic studies to determine or reassess the absolute intensities of gas phase organics of interest to Titan, we have experimentally studied the IR spectra in the gas phase of diazomethane, methyl azide, and methyl isocyanide, at room temperature, in the 250-4300 cm-1 region. The absolute intensities, Sv, of the most intense vibrational bands of these compounds were determined experimentally together with the associated uncertainties. In order to estimate the detectability of the selected compounds by infrared spectroscopy in Titan's atmosphere, our data were compared with Voyager IRIS spectra of Titan. Upper limits of, respectively, 5, 5.4, and 1.3 ppb on the mean stratospheric abundances are inferred. These values are consistent with photochemical modeling of Titan's atmosphere. They appear auspicious for possible detection in Titan using upcoming space missions. {\textcopyright} 1996 Academic Press, Inc.},
author = {Khlifi, Mohammed and Paillous, Pierre and Bruston, Paul and Raulin, Fran{\c{c}}ois and Guillemin, Jean Claude},
doi = {10.1006/icar.1996.0207},
issn = {00191035},
journal = {Icarus},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {nov},
number = {1},
pages = {318--328},
publisher = {Academic Press},
title = {{Absolute IR band intensities of CH2N2, CH3N3, and CH3NC in the 250-4300 cm-1 region and upper limits of abundance in Titan's stratosphere}},
volume = {124},
year = {1996}
}",_10.1006/icar.1996.0207,NA
C2H3OF,CH3COF,Halogens,7,4,Acetyl fluoride,CC(=O)F,InChI=1S/C2H3FO/c1-2(3)4/h1H3,JUCMRTZQCZRJDC-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],15,123,131.05,129.32014,Low,200 - 4000,"A""",CH3 rotation,CH3 rotation,non-Stretch,-,-,Low-to-mid,Spectrochimica Acta Part A: Molecular Spectroscopy,1972,"@article{72BeCo,
abstract = {Infrared spectra of acetyl fluoride and acetyl fluoride-d3 are reported for the gas and the solid, as are the Raman spectra of the liquids. Changes in a previous assignment for CH3CFO [J. Chem. Phys. 53, 1713 (1970)] are indicated. Observed intensities and analogy with COF2 suggest that fundamentals at 826 and 1188 cm-1 are best described as in-phase and out-of-phase C-C-F stretches. The methyl rock and the in-phase C-C-F stretch are strongly mixed in CD3CFO (839 and 778 cm-1). A product-rule calculation indicates that the fundamental frequencies of CD3CFO are about 2 per cent higher than expected on the basis of a strictly harmonic potential function for CH3CPO. A similar calculation is used to compare CH3CFO with CF3CFO. {\textcopyright} 1972.},
author = {Berney, C. V. and Cormier, A. D.},
doi = {10.1016/0584-8539(72)80153-3},
issn = {05848539},
journal = {Spectrochimica Acta Part A: Molecular Spectroscopy},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {oct},
number = {10},
pages = {1813--1822},
publisher = {Elsevier},
title = {{Vibrational spectra of acetyl fluoride and acetyl fluoride-d3}},
volume = {28},
year = {1972}
}",_10.1016/0584-8539(72)80153-3,NA
C2H3OF,CH3COF,Halogens,7,4,Acetyl fluoride,CC(=O)F,InChI=1S/C2H3FO/c1-2(3)4/h1H3,JUCMRTZQCZRJDC-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],10,420,414.57,409.097676,Low,200 - 4000,A',C2H3OF bend,C2H3OF bend,non-Stretch,-,-,Low-to-mid,Spectrochimica Acta Part A: Molecular Spectroscopy,1972,"@article{72BeCo,
abstract = {Infrared spectra of acetyl fluoride and acetyl fluoride-d3 are reported for the gas and the solid, as are the Raman spectra of the liquids. Changes in a previous assignment for CH3CFO [J. Chem. Phys. 53, 1713 (1970)] are indicated. Observed intensities and analogy with COF2 suggest that fundamentals at 826 and 1188 cm-1 are best described as in-phase and out-of-phase C-C-F stretches. The methyl rock and the in-phase C-C-F stretch are strongly mixed in CD3CFO (839 and 778 cm-1). A product-rule calculation indicates that the fundamental frequencies of CD3CFO are about 2 per cent higher than expected on the basis of a strictly harmonic potential function for CH3CPO. A similar calculation is used to compare CH3CFO with CF3CFO. {\textcopyright} 1972.},
author = {Berney, C. V. and Cormier, A. D.},
doi = {10.1016/0584-8539(72)80153-3},
issn = {05848539},
journal = {Spectrochimica Acta Part A: Molecular Spectroscopy},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {oct},
number = {10},
pages = {1813--1822},
publisher = {Elsevier},
title = {{Vibrational spectra of acetyl fluoride and acetyl fluoride-d3}},
volume = {28},
year = {1972}
}",_10.1016/0584-8539(72)80153-3,NA
C2H3OF,CH3COF,Halogens,7,4,Acetyl fluoride,CC(=O)F,InChI=1S/C2H3FO/c1-2(3)4/h1H3,JUCMRTZQCZRJDC-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],14,567,571.08,563.541744,Low,200 - 4000,"A""",CH2 bend,CH2 twist,non-Stretch,-,-,Low-to-mid,Spectrochimica Acta Part A: Molecular Spectroscopy,1972,"@article{72BeCo,
abstract = {Infrared spectra of acetyl fluoride and acetyl fluoride-d3 are reported for the gas and the solid, as are the Raman spectra of the liquids. Changes in a previous assignment for CH3CFO [J. Chem. Phys. 53, 1713 (1970)] are indicated. Observed intensities and analogy with COF2 suggest that fundamentals at 826 and 1188 cm-1 are best described as in-phase and out-of-phase C-C-F stretches. The methyl rock and the in-phase C-C-F stretch are strongly mixed in CD3CFO (839 and 778 cm-1). A product-rule calculation indicates that the fundamental frequencies of CD3CFO are about 2 per cent higher than expected on the basis of a strictly harmonic potential function for CH3CPO. A similar calculation is used to compare CH3CFO with CF3CFO. {\textcopyright} 1972.},
author = {Berney, C. V. and Cormier, A. D.},
doi = {10.1016/0584-8539(72)80153-3},
issn = {05848539},
journal = {Spectrochimica Acta Part A: Molecular Spectroscopy},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {oct},
number = {10},
pages = {1813--1822},
publisher = {Elsevier},
title = {{Vibrational spectra of acetyl fluoride and acetyl fluoride-d3}},
volume = {28},
year = {1972}
}",_10.1016/0584-8539(72)80153-3,NA
C2H3OF,CH3COF,Halogens,7,4,Acetyl fluoride,CC(=O)F,InChI=1S/C2H3FO/c1-2(3)4/h1H3,JUCMRTZQCZRJDC-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],9,598,605.02,597.033736,Low,200 - 4000,A',OCF scissor,OCF scissor,non-Stretch,-,-,Low-to-mid,Spectrochimica Acta Part A: Molecular Spectroscopy,1972,"@article{72BeCo,
abstract = {Infrared spectra of acetyl fluoride and acetyl fluoride-d3 are reported for the gas and the solid, as are the Raman spectra of the liquids. Changes in a previous assignment for CH3CFO [J. Chem. Phys. 53, 1713 (1970)] are indicated. Observed intensities and analogy with COF2 suggest that fundamentals at 826 and 1188 cm-1 are best described as in-phase and out-of-phase C-C-F stretches. The methyl rock and the in-phase C-C-F stretch are strongly mixed in CD3CFO (839 and 778 cm-1). A product-rule calculation indicates that the fundamental frequencies of CD3CFO are about 2 per cent higher than expected on the basis of a strictly harmonic potential function for CH3CPO. A similar calculation is used to compare CH3CFO with CF3CFO. {\textcopyright} 1972.},
author = {Berney, C. V. and Cormier, A. D.},
doi = {10.1016/0584-8539(72)80153-3},
issn = {05848539},
journal = {Spectrochimica Acta Part A: Molecular Spectroscopy},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {oct},
number = {10},
pages = {1813--1822},
publisher = {Elsevier},
title = {{Vibrational spectra of acetyl fluoride and acetyl fluoride-d3}},
volume = {28},
year = {1972}
}",_10.1016/0584-8539(72)80153-3,NA
C2H3OF,CH3COF,Halogens,7,4,Acetyl fluoride,CC(=O)F,InChI=1S/C2H3FO/c1-2(3)4/h1H3,JUCMRTZQCZRJDC-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],8,826,849.98,838.760264,Low,200 - 4000,A',C-F stretch + C-C stretch,C-F stretch + C-C stretch,Stretch,-,-,Low-to-mid,Spectrochimica Acta Part A: Molecular Spectroscopy,1972,"@article{72BeCo,
abstract = {Infrared spectra of acetyl fluoride and acetyl fluoride-d3 are reported for the gas and the solid, as are the Raman spectra of the liquids. Changes in a previous assignment for CH3CFO [J. Chem. Phys. 53, 1713 (1970)] are indicated. Observed intensities and analogy with COF2 suggest that fundamentals at 826 and 1188 cm-1 are best described as in-phase and out-of-phase C-C-F stretches. The methyl rock and the in-phase C-C-F stretch are strongly mixed in CD3CFO (839 and 778 cm-1). A product-rule calculation indicates that the fundamental frequencies of CD3CFO are about 2 per cent higher than expected on the basis of a strictly harmonic potential function for CH3CPO. A similar calculation is used to compare CH3CFO with CF3CFO. {\textcopyright} 1972.},
author = {Berney, C. V. and Cormier, A. D.},
doi = {10.1016/0584-8539(72)80153-3},
issn = {05848539},
journal = {Spectrochimica Acta Part A: Molecular Spectroscopy},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {oct},
number = {10},
pages = {1813--1822},
publisher = {Elsevier},
title = {{Vibrational spectra of acetyl fluoride and acetyl fluoride-d3}},
volume = {28},
year = {1972}
}",_10.1016/0584-8539(72)80153-3,NA
C2H3OF,CH3COF,Halogens,7,4,Acetyl fluoride,CC(=O)F,InChI=1S/C2H3FO/c1-2(3)4/h1H3,JUCMRTZQCZRJDC-UHFFFAOYSA-N,[07MeMoRa],[1064f/122mol],7,1000,1018.93,991.113211,Mid,200 - 4000,A',CH2 bend,CH2 wag,non-Stretch,-,-,Low-to-mid,Spectrochimica Acta Part A: Molecular Spectroscopy,1972,"@article{72BeCo,
abstract = {Infrared spectra of acetyl fluoride and acetyl fluoride-d3 are reported for the gas and the solid, as are the Raman spectra of the liquids. Changes in a previous assignment for CH3CFO [J. Chem. Phys. 53, 1713 (1970)] are indicated. Observed intensities and analogy with COF2 suggest that fundamentals at 826 and 1188 cm-1 are best described as in-phase and out-of-phase C-C-F stretches. The methyl rock and the in-phase C-C-F stretch are strongly mixed in CD3CFO (839 and 778 cm-1). A product-rule calculation indicates that the fundamental frequencies of CD3CFO are about 2 per cent higher than expected on the basis of a strictly harmonic potential function for CH3CPO. A similar calculation is used to compare CH3CFO with CF3CFO. {\textcopyright} 1972.},
author = {Berney, C. V. and Cormier, A. D.},
doi = {10.1016/0584-8539(72)80153-3},
issn = {05848539},
journal = {Spectrochimica Acta Part A: Molecular Spectroscopy},
mendeley-groups = {PhD/5_HarmBenchmark/Freqs_refs},
month = {oct},
number = {10},
pages = {1813--1822},
publisher = {Elsevier},
title = {{Vibrational spectra of acetyl fluoride and acetyl fluoride-d3}},
volume = {28},
year = {1972}
}",_10.1016/0584-8539(72)80153-3,NA
